Surface_total,Surface_usable,Room,Bedroom,Bathroom,Parking,Service_fees,Location,URL,Price
43.0,43.0,3.0,2.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-978916872-av-libertador-bernardo-ohiggins-4320-783-16-_JM#position=38&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,370000.0
3080.0,2795.0,,1.0,1.0,,45000.0,Estacion Central,https://www.portalinmobiliario.com/MLC-979438587-departamento-en-arriendo-de-1-dorm-en-estacion-central-_JM#position=39&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,320000.0
,,,3.0,2.0,1.0,,Estacion Central,https://www.portalinmobiliario.com/MLC-978225668-departamento-en-arriendo-en-estacion-central-_JM#position=40&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,420000.0
47.0,47.0,,2.0,2.0,1.0,55000.0,Estacion Central,https://www.portalinmobiliario.com/MLC-979343152-cumbrespro-arrienda-amplio-dpto-con-estacionamiento-_JM#position=41&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,420000.0
43.0,43.0,3.0,2.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-979177953-coronel-souper-4222-459-16-_JM#position=42&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,373500.0
53.0,48.0,,2.0,2.0,1.0,70000.0,Estacion Central,https://www.portalinmobiliario.com/MLC-978867076-2d-2b-estacion-centralmetro-ecuador-edificio-latitud-_JM#position=43&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,430000.0
,,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-980128659-sta-petronila-32-435-11-_JM#position=44&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,250000.0
41.0,41.0,3.0,2.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-979553324-gral-amengual-102-745-16-_JM#position=45&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,365000.0
32.0,32.0,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-980128669-av-libertador-bernardo-ohiggins-4320-783-1-_JM#position=46&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,320000.0
37.0,37.0,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-980077867-coronel-souper-4250-1042-1-_JM#position=47&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,329500.0
41.0,41.0,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-979972579-coronel-souper-4250-1042-1-_JM#position=48&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,325500.0
62.0,60.0,,3.0,2.0,1.0,90000.0,Estacion Central,https://www.portalinmobiliario.com/MLC-978929164-arriendo-depto-3d-con-estacionamiento-metro-alberto-hurtado-_JM#position=49&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,600000.0
37.0,37.0,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-980134983-coronel-souper-4250-1042-1-_JM#position=50&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,331500.0
37.0,37.0,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-980147574-coronel-souper-4250-1042-1-_JM#position=1&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,321500.0
37.0,37.0,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-980165446-coronel-souper-4250-1042-1-_JM#position=2&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,323500.0
