Surface,Bedrooms,Bathrooms,Location,Price
5.0,1.0,1.0,Las Condes,580000.0
97.0,2.0,2.0,Las Condes,984130.0
120.0,3.0,2.0,Las Condes,1200000.0
120.0,3.0,4.0,Las Condes,1150000.0
106.0,4.0,3.0,Las Condes,1150000.0
120.0,3.0,3.0,Las Condes,1150000.0
104.0,3.0,3.0,Las Condes,1100000.0
140.0,3.0,2.0,Las Condes,1050000.0
94.0,2.0,2.0,Las Condes,1100000.0
100.0,3.0,3.0,Las Condes,1100000.0
108.0,2.0,2.0,Las Condes,1050000.0
119.0,3.0,3.0,Las Condes,1100000.0
104.0,3.0,3.0,Las Condes,1100000.0
77.0,2.0,2.0,Las Condes,1050000.0
12.0,2.0,2.0,Las Condes,1100000.0
70.0,1.0,2.0,Las Condes,1047623.0
100.0,2.0,3.0,Las Condes,1100000.0
98.0,3.0,3.0,Las Condes,1100000.0
90.0,3.0,2.0,Las Condes,1047623.0
109.0,4.0,3.0,Las Condes,1100000.0
60.0,1.0,1.0,Las Condes,1047623.0
137.0,4.0,4.0,Las Condes,1100000.0
90.0,3.0,2.0,Las Condes,1100000.0
68.0,2.0,2.0,Las Condes,1047623.0
48.0,1.0,1.0,Las Condes,1047623.0
123.0,3.0,3.0,Las Condes,1100000.0
100.0,3.0,3.0,Las Condes,1100000.0
110.0,3.0,2.0,Las Condes,1050000.0
100.0,3.0,3.0,Las Condes,1079369.0
75.0,2.0,2.0,Las Condes,1080000.0
152.0,4.0,3.0,Las Condes,1090000.0
152.0,4.0,3.0,Las Condes,1090000.0
75.0,2.0,2.0,Las Condes,1091100.0
78.0,2.0,2.0,Las Condes,1099100.0
90.0,3.0,3.0,Las Condes,1100000.0
125.0,2.0,3.0,Las Condes,1100000.0
134.0,3.0,3.0,Las Condes,1100000.0
75.0,2.0,2.0,Las Condes,1057900.0
136.0,3.0,2.0,Las Condes,1100000.0
105.0,3.0,3.0,Las Condes,1100000.0
120.0,3.0,3.0,Las Condes,1100000.0
96.0,3.0,2.0,Las Condes,1100000.0
100.0,3.0,3.0,Las Condes,1100000.0
38.0,1.0,1.0,Las Condes,600000.0
80.0,2.0,2.0,Las Condes,1053500.0
80.0,3.0,2.0,Las Condes,1050000.0
130.0,3.0,3.0,Las Condes,1100000.0
35.0,1.0,1.0,Las Condes,565000.0
125.0,4.0,3.0,Las Condes,1047623.0
109.0,4.0,3.0,Las Condes,1100000.0
107.0,4.0,3.0,Las Condes,1015877.0
40.0,1.0,1.0,Las Condes,595875.0
105.0,3.0,3.0,Las Condes,1115000.0
108.0,3.0,3.0,Las Condes,1015877.0
90.0,3.0,2.0,Las Condes,1015877.0
78.0,2.0,2.0,Las Condes,1122700.0
78.0,2.0,2.0,Las Condes,1122700.0
78.0,2.0,2.0,Las Condes,1134500.0
105.0,3.0,2.0,Las Condes,1015877.0
45.0,1.0,1.0,Las Condes,1012800.0
110.0,4.0,3.0,Las Condes,1142861.0
78.0,2.0,2.0,Las Condes,1146300.0
54.0,2.0,2.0,Las Condes,600000.0
70.0,2.0,2.0,Las Condes,1150000.0
85.0,3.0,3.0,Las Condes,1000000.0
102.0,3.0,3.0,Las Condes,1150000.0
125.0,3.0,3.0,Las Condes,1150000.0
110.0,2.0,3.0,Las Condes,1150000.0
70.0,2.0,2.0,Las Condes,1001908.0
102.0,3.0,3.0,Las Condes,1100000.0
77.0,2.0,2.0,Las Condes,1111115.0
50.0,1.0,1.0,Las Condes,600000.0
137.0,3.0,3.0,Las Condes,1100000.0
140.0,3.0,3.0,Las Condes,1100000.0
140.0,4.0,3.0,Las Condes,1100004.0
33.0,1.0,1.0,Las Condes,600000.0
130.0,4.0,3.0,Las Condes,1101591.0
103.0,3.0,3.0,Las Condes,1110256.0
78.0,2.0,2.0,Las Condes,1110900.0
77.0,2.0,2.0,Las Condes,1111115.0
93.0,2.0,2.0,Las Condes,1111115.0
64.0,1.0,1.0,Las Condes,1047000.0
93.0,2.0,2.0,Las Condes,1111115.0
70.0,2.0,2.0,Las Condes,1015877.0
15.0,3.0,2.0,Las Condes,1111115.0
70.0,2.0,2.0,Las Condes,1015877.0
55.0,2.0,2.0,Las Condes,1015877.0
70.0,1.0,1.0,Las Condes,1111115.0
157.0,3.0,2.0,Las Condes,1015877.0
125.0,4.0,3.0,Las Condes,1111115.0
110.0,3.0,2.0,Las Condes,1111115.0
100.0,3.0,2.0,Las Condes,980000.0
105.0,3.0,2.0,Las Condes,980000.0
130.0,4.0,3.0,Las Condes,1200322.0
90.0,2.0,2.0,Las Condes,950000.0
140.0,3.0,2.0,Las Condes,1300000.0
150.0,3.0,2.0,Las Condes,1300000.0
47.0,1.0,1.0,Las Condes,550000.0
94.0,3.0,2.0,Las Condes,1300000.0
150.0,3.0,2.0,Las Condes,1300000.0
160.0,3.0,3.0,Las Condes,1300000.0
90.0,2.0,2.0,Las Condes,1300000.0
140.0,3.0,3.0,Las Condes,1300000.0
90.0,2.0,3.0,Las Condes,940000.0
96.0,3.0,3.0,Las Condes,1301592.0
90.0,2.0,2.0,Las Condes,1317465.0
150.0,3.0,2.0,Las Condes,1330000.0
68.0,2.0,2.0,Las Condes,1332500.0
119.0,3.0,3.0,Las Condes,1333338.0
118.0,3.0,2.0,Las Condes,1333338.0
110.0,3.0,2.0,Las Condes,930000.0
70.0,2.0,2.0,Las Condes,1333338.0
80.0,2.0,2.0,Las Condes,933654.0
72.0,2.0,2.0,Las Condes,1333338.0
185.0,4.0,4.0,Las Condes,1300000.0
50.0,1.0,1.0,Las Condes,550000.0
140.0,3.0,2.0,Las Condes,1300000.0
90.0,2.0,2.0,Las Condes,1300000.0
90.0,2.0,2.0,Las Condes,950000.0
34.0,1.0,1.0,Las Condes,550000.0
90.0,2.0,2.0,Las Condes,1300000.0
140.0,2.0,2.0,Las Condes,1300000.0
77.0,2.0,2.0,Las Condes,950000.0
120.0,3.0,3.0,Las Condes,1300000.0
140.0,4.0,3.0,Las Condes,1300000.0
140.0,2.0,2.0,Las Condes,1300000.0
130.0,3.0,2.0,Las Condes,1300000.0
120.0,3.0,3.0,Las Condes,1300000.0
133.0,4.0,3.0,Las Condes,1300000.0
121.0,3.0,3.0,Las Condes,1300000.0
100.0,2.0,2.0,Las Condes,1300000.0
100.0,3.0,2.0,Las Condes,1300000.0
70.0,2.0,2.0,Las Condes,950000.0
133.0,4.0,3.0,Las Condes,1300000.0
140.0,3.0,2.0,Las Condes,1300000.0
140.0,3.0,3.0,Las Condes,1300000.0
120.0,3.0,3.0,Las Condes,921590.0
104.0,3.0,3.0,Las Condes,1333338.0
90.0,2.0,2.0,Las Condes,1350000.0
240.0,4.0,4.0,Las Condes,1350000.0
42.0,1.0,1.0,Las Condes,539684.0
